Invoice_Date,Invoice_No,Customer_Id,Gender,Age,Shopping_Mall,Category,Quantity,Price,Payment_Method,Sales_Amount
2022-12-12,I100294,C277127,Male,52,Istinye Park,Food & Beverage,3,15.69,Cash,47.07
2022-09-30,I100299,C179079,Male,19,Mall of Istanbul,Clothing,5,1500.4,Cash,7502.0
2021-08-20,I100301,C553904,Female,20,Mall of Istanbul,Clothing,4,1200.32,Credit Card,4801.28
2022-01-24,I100307,C887007,Female,58,Kanyon,Clothing,3,900.24,Credit Card,2700.7200000000003
2022-07-11,I100308,C104593,Male,18,Mall of Istanbul,Food & Beverage,1,5.23,Cash,5.23
2022-04-22,I100310,C183161,Female,46,Mall of Istanbul,Cosmetics,4,162.64,Cash,650.56
2022-04-20,I100311,C115462,Female,55,Zorlu Center,Clothing,4,1200.32,Cash,4801.28
2022-10-29,I100312,C280934,Male,34,Emaar Square Mall,Food & Beverage,2,10.46,Credit Card,20.92
2022-11-17,I100313,C144410,Female,64,Metrocity,Cosmetics,4,162.64,Cash,650.56
2021-08-04,I100315,C242277,Female,30,Emaar Square Mall,Cosmetics,3,121.98,Debit Card,365.94
2022-12-13,I100316,C248553,Male,40,Cevahir AVM,Shoes,2,1200.34,Cash,2400.68
2022-10-10,I100320,C152872,Female,21,Emaar Square Mall,Clothing,2,600.16,Cash,1200.32
2022-05-23,I100321,C113910,Female,59,Forum Istanbul,Toys,2,71.68,Credit Card,143.36
2022-05-19,I100323,C107529,Male,66,Kanyon,Cosmetics,3,121.98,Debit Card,365.94
2022-12-30,I100324,C288166,Female,61,Metropol AVM,Clothing,5,1500.4,Debit Card,7502.0
2022-04-22,I100328,C152052,Female,69,Kanyon,Food & Beverage,3,15.69,Credit Card,47.07
2022-07-15,I100330,C453598,Male,26,Metrocity,Cosmetics,5,203.3,Credit Card,1016.5
2022-08-01,I100336,C202040,Female,39,Metropol AVM,Food & Beverage,1,5.23,Cash,5.23
2022-06-29,I100338,C779694,Male,62,Viaport Outlet,Food & Beverage,2,10.46,Cash,20.92
2021-08-24,I100354,C135028,Male,22,Metropol AVM,Technology,1,1050.0,Credit Card,1050.0
2022-10-25,I100355,C189409,Female,57,Kanyon,Clothing,5,1500.4,Cash,7502.0
2021-05-02,I100357,C494452,Female,23,Forum Istanbul,Cosmetics,3,121.98,Debit Card,365.94
2021-09-22,I100358,C339237,Female,21,Metrocity,Cosmetics,5,203.3,Cash,1016.5
2021-06-29,I100361,C224357,Female,26,Viaport Outlet,Food & Beverage,5,26.15,Cash,130.75
2021-04-15,I100364,C231500,Female,54,Zorlu Center,Clothing,2,600.16,Debit Card,1200.32
2021-05-19,I100365,C624809,Female,47,Emaar Square Mall,Clothing,5,1500.4,Credit Card,7502.0
2021-07-05,I100366,C296054,Female,69,Cevahir AVM,Clothing,1,300.08,Debit Card,300.08
2021-11-22,I100367,C268495,Male,61,Kanyon,Food & Beverage,5,26.15,Cash,130.75
2022-01-17,I100368,C168429,Female,63,Kanyon,Food & Beverage,1,5.23,Credit Card,5.23
2021-12-23,I100377,C272529,Female,62,Metrocity,Toys,3,107.52,Debit Card,322.56
2022-12-02,I100381,C243648,Female,36,Forum Istanbul,Clothing,2,600.16,Cash,1200.32
2021-05-16,I100387,C234074,Female,21,Mall of Istanbul,Food & Beverage,2,10.46,Cash,20.92
2021-09-24,I100397,C262466,Female,34,Forum Istanbul,Cosmetics,1,40.66,Debit Card,40.66
2022-02-01,I100399,C250107,Female,46,Mall of Istanbul,Food & Beverage,5,26.15,Cash,130.75
2021-01-16,I100400,C271625,Female,62,Metrocity,Shoes,4,2400.68,Credit Card,9602.72
2023-03-06,I100401,C291610,Female,34,Cevahir AVM,Shoes,3,1800.51,Credit Card,5401.53
2021-11-03,I100404,C116794,Female,64,Mall of Istanbul,Cosmetics,1,40.66,Credit Card,40.66
2021-06-16,I100406,C146640,Male,62,Kanyon,Cosmetics,3,121.98,Credit Card,365.94
2021-08-09,I100408,C128638,Female,37,Kanyon,Toys,3,107.52,Cash,322.56
2022-09-18,I100412,C313809,Female,35,Metrocity,Food & Beverage,2,10.46,Credit Card,20.92
2023-01-10,I100414,C233655,Male,56,Mall of Istanbul,Souvenir,2,23.46,Debit Card,46.92
2022-07-17,I100417,C310007,Female,46,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
2022-04-21,I100419,C937473,Male,53,Mall of Istanbul,Souvenir,2,23.46,Credit Card,46.92
2021-07-06,I100420,C261035,Female,69,Viaport Outlet,Cosmetics,3,121.98,Credit Card,365.94
2021-04-22,I100423,C664680,Female,33,Metrocity,Food & Beverage,4,20.92,Debit Card,83.68
2021-08-29,I100425,C386315,Female,52,Metropol AVM,Cosmetics,1,40.66,Cash,40.66
2022-12-24,I100426,C133701,Female,47,Istinye Park,Cosmetics,3,121.98,Cash,365.94
2021-07-14,I100434,C295965,Male,61,Mall of Istanbul,Cosmetics,4,162.64,Cash,650.56
2023-03-02,I100439,C224698,Male,26,Metropol AVM,Shoes,5,3000.85,Credit Card,15004.25
2022-09-09,I100441,C202089,Female,43,Istinye Park,Cosmetics,3,121.98,Cash,365.94
2021-04-16,I100443,C826051,Female,30,Istinye Park,Souvenir,4,46.92,Debit Card,187.68
2021-11-02,I100445,C307576,Female,18,Istinye Park,Clothing,1,300.08,Debit Card,300.08
2023-02-24,I100454,C851133,Female,40,Istinye Park,Toys,3,107.52,Debit Card,322.56
2022-09-04,I100455,C191387,Female,56,Metropol AVM,Souvenir,5,58.65,Cash,293.25
2022-04-12,I100458,C150447,Female,19,Metrocity,Toys,2,71.68,Credit Card,143.36
2021-09-18,I100459,C194835,Female,37,Metrocity,Clothing,3,900.24,Debit Card,2700.7200000000003
2021-01-04,I100462,C363980,Female,46,Metropol AVM,Souvenir,5,58.65,Cash,293.25
2021-05-01,I100464,C129826,Male,44,Mall of Istanbul,Clothing,2,600.16,Debit Card,1200.32
2022-01-14,I100465,C211946,Female,57,Mall of Istanbul,Clothing,1,300.08,Cash,300.08
2021-09-30,I100466,C235798,Male,30,Forum Istanbul,Clothing,4,1200.32,Debit Card,4801.28
2021-11-08,I100470,C219411,Female,32,Istinye Park,Shoes,1,600.17,Credit Card,600.17
2021-09-01,I100472,C176862,Male,43,Mall of Istanbul,Cosmetics,1,40.66,Cash,40.66
2021-01-01,I100473,C607315,Female,51,Mall of Istanbul,Books,5,75.75,Debit Card,378.75
2021-01-26,I100484,C135857,Male,50,Mall of Istanbul,Clothing,1,300.08,Debit Card,300.08
2021-02-19,I100487,C213360,Female,22,Kanyon,Cosmetics,4,162.64,Cash,650.56
2021-03-29,I100491,C212593,Male,57,Kanyon,Shoes,4,2400.68,Credit Card,9602.72
2021-12-19,I100494,C227575,Male,56,Metrocity,Toys,3,107.52,Debit Card,322.56
2021-11-26,I100496,C174558,Female,51,Metrocity,Clothing,2,600.16,Cash,1200.32
2023-02-03,I100498,C498727,Female,63,Cevahir AVM,Technology,5,5250.0,Cash,26250.0
2021-05-09,I100499,C114407,Male,45,Cevahir AVM,Clothing,5,1500.4,Cash,7502.0
2021-08-31,I100501,C338282,Female,18,Metrocity,Technology,1,1050.0,Debit Card,1050.0
2021-10-10,I100502,C238358,Male,28,Mall of Istanbul,Toys,1,35.84,Credit Card,35.84
2021-03-31,I100504,C703075,Female,59,Mall of Istanbul,Shoes,2,1200.34,Cash,2400.68
2021-03-24,I100508,C249896,Female,20,Viaport Outlet,Clothing,3,900.24,Debit Card,2700.7200000000003
2022-04-13,I100512,C208841,Male,36,Kanyon,Food & Beverage,3,15.69,Debit Card,47.07
2021-01-25,I100519,C233898,Male,49,Kanyon,Clothing,4,1200.32,Credit Card,4801.28
2021-11-06,I100522,C100218,Male,26,Kanyon,Clothing,5,1500.4,Cash,7502.0
2022-08-17,I100526,C356129,Male,35,Mall of Istanbul,Cosmetics,3,121.98,Debit Card,365.94
2022-06-26,I100527,C274542,Male,54,Metrocity,Clothing,1,300.08,Cash,300.08
2022-04-05,I100537,C392460,Female,62,Kanyon,Souvenir,3,35.19,Debit Card,105.57
2022-01-19,I100538,C312561,Female,65,Istinye Park,Clothing,3,900.24,Cash,2700.7200000000003
2022-06-14,I100540,C641482,Female,35,Metrocity,Clothing,2,600.16,Credit Card,1200.32
2021-05-10,I100541,C155234,Female,65,Istinye Park,Souvenir,2,23.46,Cash,46.92
2021-06-05,I100542,C273404,Male,23,Istinye Park,Souvenir,3,35.19,Credit Card,105.57
2022-03-05,I100543,C193964,Female,52,Mall of Istanbul,Food & Beverage,2,10.46,Cash,20.92
2021-08-07,I100547,C173500,Male,49,Mall of Istanbul,Food & Beverage,1,5.23,Credit Card,5.23
2022-11-22,I100550,C123577,Female,38,Cevahir AVM,Souvenir,5,58.65,Cash,293.25
2021-11-09,I100552,C213606,Female,30,Metropol AVM,Food & Beverage,3,15.69,Credit Card,47.07
2022-09-10,I100555,C701082,Female,44,Kanyon,Clothing,3,900.24,Cash,2700.7200000000003
2021-05-25,I100558,C209906,Male,27,Istinye Park,Cosmetics,3,121.98,Credit Card,365.94
2021-08-29,I100561,C255643,Female,26,Cevahir AVM,Clothing,4,1200.32,Debit Card,4801.28
2022-09-17,I100565,C833577,Male,42,Metropol AVM,Clothing,5,1500.4,Cash,7502.0
2022-10-10,I100566,C266257,Male,21,Metrocity,Clothing,2,600.16,Cash,1200.32
2021-01-03,I100567,C272165,Male,18,Mall of Istanbul,Toys,5,179.2,Credit Card,896.0
2023-01-07,I100571,C668914,Male,66,Zorlu Center,Clothing,1,300.08,Debit Card,300.08
2021-07-30,I100572,C245347,Female,67,Istinye Park,Clothing,1,300.08,Cash,300.08
2023-02-28,I100578,C108143,Female,67,Zorlu Center,Shoes,4,2400.68,Cash,9602.72
2022-09-24,I100579,C260481,Female,36,Kanyon,Food & Beverage,3,15.69,Credit Card,47.07
2022-09-14,I100580,C131158,Female,68,Cevahir AVM,Toys,3,107.52,Cash,322.56
2021-11-02,I100582,C638859,Female,66,Istinye Park,Clothing,2,600.16,Cash,1200.32
2022-03-18,I100586,C580838,Female,62,Istinye Park,Clothing,2,600.16,Credit Card,1200.32
2022-02-20,I100591,C881158,Male,23,Metrocity,Toys,1,35.84,Credit Card,35.84
2021-06-11,I100593,C240318,Male,23,Mall of Istanbul,Technology,2,2100.0,Cash,4200.0
2021-11-24,I100599,C114161,Male,27,Mall of Istanbul,Shoes,2,1200.34,Credit Card,2400.68
2022-06-09,I100601,C180415,Male,49,Mall of Istanbul,Toys,4,143.36,Cash,573.44
2021-11-27,I100607,C315778,Male,60,Kanyon,Clothing,5,1500.4,Debit Card,7502.0
2022-04-06,I100610,C122598,Male,64,Mall of Istanbul,Books,5,75.75,Debit Card,378.75
2022-03-21,I100611,C234086,Male,55,Metropol AVM,Toys,3,107.52,Cash,322.56
2021-07-11,I100614,C261517,Female,41,Cevahir AVM,Cosmetics,5,203.3,Cash,1016.5
2022-05-12,I100615,C197426,Female,57,Mall of Istanbul,Clothing,5,1500.4,Cash,7502.0
2022-07-06,I100617,C745941,Male,56,Zorlu Center,Books,5,75.75,Cash,378.75
2021-03-04,I100618,C911820,Male,23,Metrocity,Books,2,30.3,Credit Card,60.6
2023-01-18,I100622,C306817,Female,45,Kanyon,Clothing,3,900.24,Credit Card,2700.7200000000003
2021-03-05,I100624,C552809,Female,26,Metrocity,Clothing,5,1500.4,Debit Card,7502.0
2022-12-10,I100627,C132581,Male,54,Metrocity,Books,3,45.45,Debit Card,136.35000000000002
2022-04-09,I100628,C135129,Male,25,Viaport Outlet,Clothing,1,300.08,Cash,300.08
2022-04-02,I100630,C753708,Female,66,Kanyon,Food & Beverage,4,20.92,Debit Card,83.68
2022-05-23,I100634,C461631,Female,22,Kanyon,Clothing,5,1500.4,Cash,7502.0
2021-06-03,I100635,C289537,Female,69,Metropol AVM,Clothing,4,1200.32,Debit Card,4801.28
2022-05-02,I100639,C231484,Male,65,Metrocity,Technology,4,4200.0,Credit Card,16800.0
2021-09-15,I100651,C180588,Female,41,Metropol AVM,Cosmetics,2,81.32,Credit Card,162.64
2023-01-17,I100652,C214732,Female,67,Cevahir AVM,Clothing,2,600.16,Credit Card,1200.32
2023-02-18,I100656,C337441,Female,54,Metropol AVM,Cosmetics,2,81.32,Cash,162.64
2021-07-14,I100659,C562791,Male,27,Emaar Square Mall,Souvenir,3,35.19,Cash,105.57
2021-09-26,I100663,C322131,Female,41,Mall of Istanbul,Food & Beverage,5,26.15,Cash,130.75
2021-10-19,I100664,C603641,Male,62,Mall of Istanbul,Clothing,2,600.16,Debit Card,1200.32
2022-04-02,I100666,C996052,Female,62,Metrocity,Books,2,30.3,Cash,60.6
2021-05-03,I100671,C284324,Male,28,Metrocity,Clothing,1,300.08,Cash,300.08
2021-03-22,I100682,C134970,Male,58,Istinye Park,Toys,4,143.36,Cash,573.44
2021-08-11,I100684,C175424,Male,30,Emaar Square Mall,Cosmetics,5,203.3,Credit Card,1016.5
2021-05-24,I100685,C263059,Male,60,Forum Istanbul,Souvenir,2,23.46,Debit Card,46.92
2022-04-26,I100691,C116434,Female,35,Viaport Outlet,Clothing,2,600.16,Cash,1200.32
2022-11-27,I100694,C318405,Female,62,Kanyon,Food & Beverage,4,20.92,Cash,83.68
2021-07-12,I100696,C131827,Male,44,Metrocity,Clothing,2,600.16,Cash,1200.32
2021-12-19,I100697,C159194,Female,31,Kanyon,Clothing,4,1200.32,Cash,4801.28
2021-03-07,I100699,C844692,Male,44,Mall of Istanbul,Books,1,15.15,Credit Card,15.15
2021-10-24,I100700,C831975,Female,60,Viaport Outlet,Clothing,4,1200.32,Credit Card,4801.28
2022-08-08,I100703,C263996,Male,36,Metrocity,Clothing,2,600.16,Cash,1200.32
2021-04-30,I100704,C864065,Male,24,Mall of Istanbul,Technology,2,2100.0,Debit Card,4200.0
2021-08-18,I100709,C156430,Female,40,Mall of Istanbul,Clothing,3,900.24,Debit Card,2700.7200000000003
2022-07-17,I100719,C193403,Male,69,Zorlu Center,Toys,2,71.68,Cash,143.36
2022-05-02,I100721,C993556,Female,51,Kanyon,Clothing,2,600.16,Debit Card,1200.32
2021-02-08,I100723,C150582,Female,38,Mall of Istanbul,Toys,1,35.84,Debit Card,35.84
2022-12-29,I100731,C868764,Female,28,Emaar Square Mall,Books,1,15.15,Debit Card,15.15
2022-02-28,I100733,C932952,Female,42,Kanyon,Books,1,15.15,Cash,15.15
2022-02-02,I100735,C107829,Female,44,Metropol AVM,Souvenir,4,46.92,Debit Card,187.68
2022-03-31,I100738,C155129,Male,20,Kanyon,Clothing,2,600.16,Debit Card,1200.32
2021-01-05,I100741,C828874,Male,41,Cevahir AVM,Cosmetics,5,203.3,Debit Card,1016.5
2022-04-05,I100742,C422142,Female,58,Metropol AVM,Food & Beverage,3,15.69,Credit Card,47.07
2022-03-31,I100744,C146601,Female,50,Kanyon,Clothing,4,1200.32,Cash,4801.28
2021-03-04,I100749,C272878,Female,52,Metrocity,Toys,2,71.68,Cash,143.36
2023-02-17,I100756,C771102,Male,31,Mall of Istanbul,Clothing,1,300.08,Cash,300.08
2021-01-19,I100760,C800785,Female,18,Mall of Istanbul,Books,4,60.6,Credit Card,242.4
2023-01-11,I100762,C183883,Female,49,Zorlu Center,Clothing,1,300.08,Debit Card,300.08
2022-07-10,I100763,C264447,Female,35,Cevahir AVM,Cosmetics,4,162.64,Cash,650.56
2023-02-07,I100764,C564073,Male,54,Istinye Park,Cosmetics,3,121.98,Credit Card,365.94
2022-05-28,I100768,C223065,Female,49,Kanyon,Cosmetics,3,121.98,Cash,365.94
2021-04-10,I100770,C140792,Female,61,Metropol AVM,Toys,5,179.2,Credit Card,896.0
2022-03-07,I100771,C235228,Female,23,Istinye Park,Food & Beverage,3,15.69,Credit Card,47.07
2021-04-02,I100775,C981100,Male,23,Metropol AVM,Cosmetics,5,203.3,Cash,1016.5
2021-10-29,I100777,C303252,Female,38,Kanyon,Toys,3,107.52,Credit Card,322.56
2021-04-06,I100780,C191396,Female,62,Mall of Istanbul,Books,3,45.45,Credit Card,136.35000000000002
2022-03-11,I100782,C582964,Male,55,Zorlu Center,Food & Beverage,3,15.69,Debit Card,47.07
2021-10-11,I100791,C289735,Female,39,Metropol AVM,Cosmetics,4,162.64,Cash,650.56
2021-03-15,I100793,C328805,Male,29,Istinye Park,Cosmetics,3,121.98,Cash,365.94
2022-07-06,I100795,C232822,Male,62,Kanyon,Books,2,30.3,Debit Card,60.6
2021-10-17,I100797,C224221,Male,23,Metropol AVM,Shoes,4,2400.68,Credit Card,9602.72
2023-02-24,I100803,C273636,Female,38,Mall of Istanbul,Books,5,75.75,Cash,378.75
2022-03-24,I100812,C208761,Female,66,Metropol AVM,Clothing,5,1500.4,Credit Card,7502.0
2022-03-18,I100813,C250804,Male,63,Emaar Square Mall,Clothing,2,600.16,Cash,1200.32
2022-08-12,I100814,C130818,Female,38,Mall of Istanbul,Books,3,45.45,Credit Card,136.35000000000002
2022-04-19,I100815,C222582,Male,50,Kanyon,Toys,4,143.36,Cash,573.44
2021-01-08,I100818,C151068,Female,21,Mall of Istanbul,Food & Beverage,3,15.69,Cash,47.07
2021-12-26,I100820,C180870,Male,20,Metrocity,Food & Beverage,2,10.46,Cash,20.92
2021-11-15,I100822,C336505,Male,55,Zorlu Center,Cosmetics,1,40.66,Cash,40.66
2021-07-30,I100829,C115788,Male,32,Istinye Park,Souvenir,5,58.65,Credit Card,293.25
2022-08-27,I100835,C259176,Female,43,Viaport Outlet,Clothing,5,1500.4,Debit Card,7502.0
2023-01-12,I100837,C827434,Male,65,Cevahir AVM,Clothing,1,300.08,Cash,300.08
2021-06-08,I100842,C143467,Female,45,Forum Istanbul,Food & Beverage,5,26.15,Credit Card,130.75
2022-01-17,I100843,C170564,Female,54,Metropol AVM,Clothing,4,1200.32,Debit Card,4801.28
2022-09-10,I100851,C256797,Female,32,Istinye Park,Cosmetics,1,40.66,Credit Card,40.66
2021-06-25,I100855,C125109,Female,63,Emaar Square Mall,Clothing,3,900.24,Credit Card,2700.7200000000003
2022-06-09,I100856,C475330,Male,44,Metropol AVM,Food & Beverage,3,15.69,Cash,47.07
2022-12-24,I100861,C281937,Female,49,Viaport Outlet,Cosmetics,2,81.32,Cash,162.64
